v,total,rank_CMC,rank_ST,rank_MC,rank_Model
3,24,0.479166667,0.083333333,0.3125,0.166666667
5,17,0.764705882,0.470588235,0.058823529,0.058823529
6,18,0.055555556,0.333333333,0.333333333,0.333333333
7,16,0.4375,0.5,0.5625,0.5625
9,18,0.111111111,0.055555556,0.944444444,0.944444444
10,8,0.875,0.25,0.125,0.25
11,21,0.285714286,0.19047619,0.761904762,0.619047619
12,29,0.75862069,0.137931034,0.034482759,0.034482759
13,15,0.6,0.466666667,0.466666667,0.666666667
14,12,0.083333333,0.083333333,0.083333333,0.083333333
16,12,0.5,0.5,0.083333333,0.25
17,12,1,0.25,0.083333333,0.083333333
19,5,0.2,0.8,1,1
21,51,0.215686275,0.215686275,0.784313725,0.31372549
24,37,0.837837838,0.175675676,0.027027027,0.756756757
