rank_Traditional_Model,rank_Proposed_Model
0.363636364,0.377272727
0.181818182,0.113636364
0.195121951,0.097560976
0.125,0.107142857
0.625,0.5
0.153846154,0.153846154
0.04,0.08
0.083333333,0.03125
0.347826087,0.304347826
1,1
0.211764706,0.211764706
0.525252525,0.292929293
0.529411765,0.411764706
0.12,0.48
0.13592233,0.087378641
0.057471264,0.126436782
0.892,0.936
0.105263158,0.105263158
0.666666667,0.111111111
1,1
0.875,0.875
0.018181818,0.136363636
0.111731844,0.145251397
0.13740458,0.015267176
0.965517241,0.965517241
0.445026178,0.397382199
0.504861111,0.190972222
0.40212766,0.106382979
0.142857143,0.547619048
0.530612245,0.170068027
0.461538462,0.269230769
0.972222222,0.972222222
0.554347826,0.206521739
0.05,0.05
0.125,0.125
