"","output_rank_ST_jfreechart_Ver","output_rank_ST_jfreechart_rankIndex","output_rank_MC_jfreechart_rankIndex","output_rank_CMC_jfreechart_rankIndex","output_rank_TM_jfreechart_rankIndex","output_rank_model_jfreechart_rankIndex","output_rank_model_jfreechart_rankIndex_mod"
"1",1,1,1,0.333333333333333,1,0.666666666666667,0.666666666666667
"2",2,0.5,0.5,0.5,0.5,0.5,0.5
"3",3,0.794871794871795,0.846153846153846,0.615384615384615,1,0.461538461538462,0.384615384615385
"4",4,0.838095238095238,0.0857142857142857,0.447619047619048,0.242857142857143,0.447619047619048,0.357142857142857
"5",5,0.619266055045872,0.614678899082569,0.261467889908257,0.899082568807339,0.692660550458716,0.73394495412844
"6",6,0.0792079207920792,0.267326732673267,0.98019801980198,0.98019801980198,0.445544554455446,0.306930693069307
"7",7,1,1,1,1,1,1
"8",8,0.5,0.5,1,0.5,0.5,0.5
"9",9,0.461538461538462,0.0769230769230769,0.461538461538462,0.307692307692308,0.153846153846154,0.0769230769230769
"10",10,1,1,1,1,0.5,0.5
"11",11,0.2,1,1,1,1,0.2
"12",12,0.8,0.1,0.7,0.1,0.1,0.1
"13",14,0.454545454545455,0.363636363636364,0.363636363636364,0.363636363636364,0.181818181818182,0.0909090909090909
"14",15,0.75,0.5,1,1,0.5,0.25
"15",16,0.477272727272727,0.681818181818182,0.704545454545455,0.590909090909091,0.0681818181818182,0.113636363636364
"16",17,1,1,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667
"17",18,0.590909090909091,0.454545454545455,0.0454545454545455,0.681818181818182,0.681818181818182,0.727272727272727
"18",19,0.266666666666667,0.1,0.8,0.577777777777778,0.288888888888889,0.288888888888889
"19",20,0.833333333333333,1,1,0.166666666666667,0.166666666666667,0.166666666666667
"20",21,1,1,1,1,1,1
"21",22,0.0833333333333333,0.333333333333333,0.125,0.375,0.0833333333333333,0.0833333333333333
"22",23,0.583333333333333,0.166666666666667,0.75,0.0833333333333333,0.166666666666667,0.0833333333333333
"23",24,0.8,1,0.6,0.6,0.6,0.6
"24",25,0.2125,0.0125,0.4625,0.3625,0.0125,0.0125
