v,total,rank_TM,rank_CMC,rank_ST,rank_MC,rank_Model
3,8,0.6875,0.125,0.875,1,1
4,1166,0.59348199,0.240566038,0.738850772,0.765437393,0.359348199
5,9,0.555555556,0.222222222,0.222222222,1,0.555555556
7,67,0.014925373,0.955223881,0.059701493,0.059701493,0.328358209
10,284,0.559859155,0.806338028,0.945422535,0.197183099,0.982394366
12,42,0.714285714,0.047619048,0.023809524,0.785714286,0.785714286
13,43,0.593023256,0.023255814,0.581395349,1,0.139534884
14,32,0.671875,0.09375,0.09375,0.875,0.125
15,99,0.262626263,0.919191919,0.01010101,0.01010101,0.01010101
16,287,0.003484321,0.827526132,0.083623693,0.175958188,0.108013937
18,59,0.601694915,0.86440678,0.050847458,0.152542373,0.13559322
20,101,0.396039604,0.227722772,0.267326733,0.658415842,0.811881188
21,23,0.695652174,0.173913043,0.304347826,0.869565217,0.391304348
23,6,0.666666667,1,0.166666667,0.166666667,0.166666667
24,16,0.0625,0.8125,0.0625,0.3125,1
25,29,0.327586207,0.206896552,0.068965517,0.896551724,0.655172414
26,30,0.566666667,0.533333333,0.6,0.5,0.4
27,29,0.068965517,0.827586207,0.103448276,0.206896552,0.965517241
28,6,0.666666667,0.333333333,0.333333333,0.833333333,0.666666667
29,36,0.513888889,0.944444444,0.138888889,0.111111111,0.972222222
30,34,0.088235294,0.088235294,0.5,0.205882353,0.029411765
31,55,0.227272727,0.145454545,0.345454545,0.545454545,0.636363636
34,61,0.032786885,0.590163934,0.262295082,0.016393443,0.229508197
35,45,0.388888889,0.222222222,0.422222222,0.788888889,0.066666667
38,10,0.5,0.9,1,0.2,0.4
39,228,0.625,0.221491228,0.24122807,0.756578947,0.263157895
40,26,0.596153846,0.269230769,0.076923077,0.634615385,0.153846154
41,164,0.353658537,0.375,0.118902439,0.536585366,0.140243902
44,5,0.7,0.2,0.6,1,0.2
45,57,0.526315789,0.052631579,0.315789474,0.964912281,0.01754386
46,7,0.571428571,0.142857143,1,1,0.142857143
47,66,0.257575758,0.727272727,0.515151515,0.265151515,0.03030303
48,14,0.392857143,0.357142857,1,0.785714286,0.071428571
50,11,0.272727273,0.727272727,0.090909091,0.272727273,0.090909091
52,21,0.642857143,0.904761905,0.095238095,0.19047619,0.047619048
53,20,0.55,0.35,0.05,0.65,0.7
55,46,0.608695652,0.108695652,0.043478261,0.913043478,0.369565217
59,5,0.6,0.4,1,0.8,0.2
62,12,0.583333333,1,0.75,0.083333333,0.25
63,15,0.766666667,0.6,0.4,0.466666667,0.6
