"","output_rank_ST_lang_Ver","output_rank_ST_lang_rankIndex","output_rank_MC_lang_rankIndex","output_rank_CMC_lang_rankIndex","output_rank_TM_lang_rankIndex","output_rank_model_lang_rankIndex","output_rank_model_lang_rankIndex_mod"
"1",3,0.875,1,0.875,1,1,1
"2",4,0.76672384219554,0.798456260720412,0.767581475128645,0.840480274442539,0.35934819897084,0.369639794168096
"3",5,0.222222222222222,1,0.666666666666667,0.333333333333333,0.555555555555556,0.555555555555556
"4",7,0.0597014925373134,0.0597014925373134,0.985074626865672,0.0149253731343284,0.104477611940299,0.104477611940299
"5",10,0.975352112676056,0.200704225352113,0.0105633802816901,0.848591549295775,0.98943661971831,0.982394366197183
"6",12,0.0238095238095238,0.785714285714286,0.0238095238095238,0.642857142857143,0.785714285714286,0.738095238095238
"7",13,0.511627906976744,1,0.883720930232558,0.0232558139534884,0.13953488372093,0.13953488372093
"8",14,0.09375,0.84375,0.78125,0.0625,0.125,0.09375
"9",15,0.0101010101010101,0.0101010101010101,0.515151515151515,0.444444444444444,0.0101010101010101,0.0101010101010101
"10",16,0.0836236933797909,0.174216027874564,0.526132404181185,0.00348432055749129,0.662020905923345,0.261324041811847
"11",18,0.0508474576271186,0.152542372881356,0.711864406779661,0.542372881355932,0.101694915254237,0.0677966101694915
"12",20,0.306930693069307,0.712871287128713,0.0495049504950495,0.930693069306931,0.821782178217822,0.861386138613861
"13",21,0.304347826086957,0.869565217391304,0.782608695652174,0.434782608695652,0.260869565217391,0.0434782608695652
"14",23,0.166666666666667,0.166666666666667,1,1,0.166666666666667,0.166666666666667
"15",24,0.0625,0.3125,0.9375,0.0625,0.1875,0.0625
"16",25,0.0689655172413793,0.96551724137931,1,1,0.517241379310345,0.482758620689655
"17",26,0.6,0.5,0.966666666666667,0.966666666666667,0.533333333333333,0.633333333333333
"18",27,0.103448275862069,0.206896551724138,1,0.0689655172413793,0.0689655172413793,0.0344827586206897
"19",28,0.5,0.833333333333333,1,1,0.666666666666667,0.666666666666667
"20",29,0.166666666666667,0.111111111111111,0.0555555555555556,0.138888888888889,1,0.944444444444444
"21",30,0.529411764705882,0.264705882352941,0.382352941176471,0.205882352941176,0.176470588235294,0.323529411764706
"22",31,0.418181818181818,0.6,0.290909090909091,0.709090909090909,0.581818181818182,0.618181818181818
"23",34,0.262295081967213,0.0163934426229508,0.377049180327869,0.524590163934426,0.0163934426229508,0.0327868852459016
"24",35,0.4,0.733333333333333,0.755555555555556,0.0444444444444444,0.155555555555556,0.155555555555556
"25",38,1,0.2,1,1,0.2,0.2
"26",39,0.223684210526316,0.723684210526316,0.543859649122807,0.0482456140350877,0.37280701754386,0.31140350877193
"27",40,0.0769230769230769,0.923076923076923,0.884615384615385,0.615384615384615,0.230769230769231,0.192307692307692
"28",41,0.121951219512195,0.573170731707317,0.658536585365854,0.975609756097561,0.134146341463415,0.134146341463415
"29",44,0.6,1,1,1,0.8,0.8
"30",45,0.315789473684211,0.964912280701754,0.912280701754386,0.0350877192982456,0.12280701754386,0.12280701754386
"31",46,1,1,1,0.285714285714286,0.285714285714286,0.285714285714286
"32",47,0.5,0.257575757575758,0.96969696969697,0.181818181818182,0.0303030303030303,0.0303030303030303
"33",48,1,0.5,1,0.357142857142857,0.0714285714285714,0.0714285714285714
"34",50,0.0909090909090909,0.272727272727273,0.909090909090909,0.909090909090909,0.0909090909090909,0.0909090909090909
"35",52,0.0952380952380952,0.142857142857143,1,0.333333333333333,0.0476190476190476,0.0476190476190476
"36",53,0.05,0.8,1,1,0.35,0.05
"37",55,0.0434782608695652,0.91304347826087,0.978260869565217,0.978260869565217,0.847826086956522,0.804347826086957
"38",59,1,1,0.8,0.8,0.6,0.6
"39",62,0.75,0.0833333333333333,0.75,0.166666666666667,0.333333333333333,0.25
"40",63,0.4,0.533333333333333,1,1,0.466666666666667,0.4
"41",64,0.5,0.787878787878788,0.833333333333333,0.166666666666667,0.303030303030303,0.287878787878788
