"","output_rank_ST_math_Ver","output_rank_ST_math_rankIndex","output_rank_MC_math_rankIndex","output_rank_CMC_math_rankIndex","output_rank_TM_math_rankIndex","output_rank_model_math_rankIndex","output_rank_model_math_rankIndex_mod"
"1",1,0.454545454545455,0.5,0.977272727272727,0.977272727272727,0.363636363636364,0.340909090909091
"2",2,0.318181818181818,0.681818181818182,0.704545454545455,0.0454545454545455,0.136363636363636,0.159090909090909
"3",3,0.951219512195122,1,0.829268292682927,0.707317073170732,0.146341463414634,0.0975609756097561
"4",4,0.571428571428571,0.178571428571429,0.910714285714286,0.821428571428571,0.107142857142857,0.214285714285714
"5",5,0.9375,1,0.375,0.0625,0.625,0.375
"6",6,0.307692307692308,0.307692307692308,0.384615384615385,0.384615384615385,0.0769230769230769,0.0769230769230769
"7",8,0.48,0.2,0.88,0.2,0.04,0.04
"8",9,0.90625,0.8125,1,1,0.0833333333333333,0.0833333333333333
"9",10,0.391304347826087,0.565217391304348,0.565217391304348,0.0434782608695652,0.217391304347826,0.304347826086957
"10",11,0.5,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714
"11",14,0.117647058823529,0.729411764705882,0.8,0.858823529411765,0.211764705882353,0.211764705882353
"12",16,0.242424242424242,0.141414141414141,0.898989898989899,0.787878787878788,0.393939393939394,0.454545454545455
"13",17,0.0588235294117647,0.588235294117647,0.941176470588235,0.0588235294117647,0.529411764705882,0.647058823529412
"14",21,0.4,0.68,0.96,0.96,0.16,0.12
"15",24,0.388349514563107,0.407766990291262,0.927184466019418,0.902912621359223,0.0728155339805825,0.0825242718446602
"16",25,0.71264367816092,0.540229885057471,0.816091954022989,0.0689655172413793,0.114942528735632,0.103448275862069
"17",28,0.392,0.104,0.084,0.536,0.88,0.872
"18",30,0.684210526315789,0.684210526315789,0.789473684210526,0.473684210526316,0.263157894736842,0.210526315789474
"19",31,0.333333333333333,0.333333333333333,0.111111111111111,0.111111111111111,0.666666666666667,0.666666666666667
"20",32,0.0526315789473684,0.0526315789473684,0.842105263157895,0.0526315789473684,0.0526315789473684,0.0526315789473684
"21",33,0.4375,0.125,0.875,0.8125,0.3125,0.5
"22",35,0.909090909090909,0.909090909090909,0.763636363636364,0.690909090909091,0.0909090909090909,0.0363636363636364
"23",36,0.865921787709497,0.899441340782123,0.759776536312849,0.201117318435754,0.0782122905027933,0.0782122905027933
"24",37,0.366412213740458,0.595419847328244,0.969465648854962,0.916030534351145,0.175572519083969,0.175572519083969
"25",42,0.775862068965517,0.0344827586206897,0.801724137931034,0.741379310344828,0.00862068965517241,0.00862068965517241
"26",43,0.680628272251309,0.387434554973822,0.366492146596859,0.816753926701571,0.424083769633508,0.408376963350785
"27",45,0.996527777777778,0.944444444444444,0.9375,0.670138888888889,0.0520833333333333,0.0173611111111111
"28",47,0.861702127659574,0.978723404255319,0.808510638297872,0.0106382978723404,0.0425531914893617,0.0212765957446809
"29",52,0.476190476190476,0.464285714285714,0.869047619047619,0.0833333333333333,0.119047619047619,0.130952380952381
"30",53,0.564625850340136,0.863945578231292,0.619047619047619,0.891156462585034,0.394557823129252,0.401360544217687
"31",54,0.884615384615385,0.307692307692308,0.692307692307692,0.230769230769231,0.0384615384615385,0.0769230769230769
"32",61,0.916666666666667,0.555555555555556,0.583333333333333,0.0555555555555556,0.0833333333333333,0.0833333333333333
"33",62,0.358695652173913,0.41304347826087,0.945652173913043,0.978260869565217,0.0543478260869565,0.0652173913043478
"34",65,0.05,0.35,0.75,0.8,0.3,0.3
"35",66,0.125,0.25,0.125,0.125,0.125,0.125
"36",67,0.0327868852459016,0.311475409836066,0.540983606557377,0.229508196721311,0.491803278688525,0.491803278688525
