"","output_rank_ST_time_Ver","output_rank_ST_time_rankIndex","output_rank_MC_time_rankIndex","output_rank_CMC_time_rankIndex","output_rank_TM_time_rankIndex","output_rank_model_time_rankIndex","output_rank_model_time_rankIndex_mod"
"1",3,0.0416666666666667,0.291666666666667,0.0833333333333333,0.0833333333333333,0.208333333333333,0.291666666666667
"2",5,0.470588235294118,0.0588235294117647,0.764705882352941,0.0588235294117647,0.0588235294117647,0.117647058823529
"3",6,0.333333333333333,0.333333333333333,0.0555555555555556,0.444444444444444,0.333333333333333,0.333333333333333
"4",7,0.5625,0.5625,0.0625,0.6875,0.5625,0.5625
"5",9,0.0555555555555556,0.944444444444444,0.944444444444444,0.944444444444444,0.944444444444444,0.0555555555555556
"6",10,0.25,0.125,0.875,0.375,0.125,0.125
"7",11,0.19047619047619,0.761904761904762,0.523809523809524,1,0.714285714285714,0.714285714285714
"8",12,0.137931034482759,0.0344827586206897,0.241379310344828,0.172413793103448,0.0344827586206897,0.0344827586206897
"9",13,0.466666666666667,0.466666666666667,0.8,1,0.6,0.666666666666667
"10",14,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333
"11",16,0.5,0.0833333333333333,0.333333333333333,0.5,0.0833333333333333,0.166666666666667
"12",17,0.25,0.0833333333333333,1,0.333333333333333,0.0833333333333333,0.0833333333333333
"13",19,0.6,1,0.6,0.6,1,1
"14",21,0.196078431372549,0.784313725490196,0.96078431372549,0.215686274509804,0.568627450980392,0.568627450980392
"15",24,0.756756756756757,0.027027027027027,0.108108108108108,0.756756756756757,0.0540540540540541,0.027027027027027
"16",26,0.0153846153846154,0.261538461538462,0.769230769230769,0.476923076923077,0.0769230769230769,0.2
